PlayerID,TeamID,Name,Nationality,Age,Overall,Position,Value,Contract Length,Dribbling,Passing,Tackling ,Shooting,Pace,Physical,GK Distribution,GK Reactions,Mental Toughness,Aggression,Confidence,Star,Happiness,Morale,Form
1,0,S.Pain,Scotland,26,,GK,0,4,28,41,32,31,60,64,63,50,98,47,50,40,60,60,60
2,0,C.Godon,Scotland,35,0,GK,0,4,23,40,12,26,34,49,67,60,88,80,50,40,60,60,60
3,0,D.Boyaga,Belgium,27,0,CB,0,4,33,51,53,44,56,44,20,69,71,58,50,40,60,60,60
4,0,K. Ater,Denmark,20,0,CB,0,4,46,65,51,42,70,66,15,72,53,67,50,40,60,60,60
5,0,MLuptig,Sweden ,31,0,CB,0,4,30,45,53,32,83,79,8,75,42,95,50,40,60,60,60
6,0,N.Birton,Isreal,26,0,CB,0,4,21,42,64,53,80,52,8,53,75,92,50,40,60,60,60
7,0, J. Tollan,Germany,27,0,RB,0,4,56,52,67,48,32,53,30,68,96,52,50,40,60,60,60
8,0,K.Tiernay,Scotland,21,0,LB,0,4,55,62,62,40,90,70,7,62,45,71,50,100,60,60,60
9,0,J.Henry,Scotland,23,0,RB,0,4,48,58,56,46,30,54,11,72,69,88,50,40,60,60,60
10,0,E. Izaguire,Honduras,32,0,LB,0,4,54,56,51,42,57,78,13,65,62,52,50,40,60,60,60
11,0,S.Drown,Scotland,33,0,CDM,0,4,52,73,57,77,31,63,82,64,72,91,50,40,60,60,60
12,0,C.Macgregor,Scotland,25,0,CM,0,4,62,77,49,61,99,51,36,60,62,92,50,40,60,60,60
13,0,R.Bhrisite,Scotland,23,0,CAM,0,4,74,50,42,40,82,44,75,72,58,43,50,40,60,60,60
14,0,O.Nacham,France,22,0,CM,0,4,62,56,41,63,37,75,31,60,95,46,50,40,60,60,60
15,0,T.Rogib,New Zealand,25,0,CM,0,4,71,62,47,76,30,44,98,57,73,53,50,40,60,60,60
16,0,M.Johnstone,Scotland,19,0,LM,0,4,52,50,51,62,57,62,73,70,72,40,50,40,60,60,60
17,0,S.Winclair,England,29,0,LM,0,4,60,76,41,42,69,61,81,52,47,82,50,40,60,60,60
18,0,J.Woods,Scotland,26,0,RM,0,4,55,74,49,80,37,73,60,67,69,63,50,40,60,60,60
19,0,O.Wurke,Scotland,21,0,RM,0,4,56,77,41,57,93,66,45,58,96,63,50,100,60,60,60
20,0,L.Bayes,Ireland,30,0,LM,0,4,59,71,56,62,74,49,74,60,52,67,50,40,60,60,60
21,0,L.Griffins,Scotland,27,0,ST,0,4,76,65,40,60,40,63,59,55,51,97,50,40,60,60,60
22,0,E.Edward,France,20,0,ST,0,4,68,63,58,82,59,44,34,60,55,47,50,40,60,60,60
23,0,T.Way,United States,18,0,ST,0,4,63,62,52,71,35,42,92,62,100,49,50,40,60,60,60
24,1,Kapa,Spain,23,0,GK,0,4,30,23,27,29,78,68,72,71,60,58,50,100,60,60,60
25,1,W.Caballaro,Argentina,36,0,GK,0,4,25,21,28,25,70,93,79,87,95,98,50,40,60,60,60
26,1,A.Rudigar,Germany,25,0,CB,0,4,78,84,86,34,53,80,49,28,86,88,50,40,60,60,60
27,1,D.Luis,Brazil,31,0,CB,0,4,69,65,80,21,68,78,27,46,66,81,50,40,60,60,60
28,1,A.Christensen,Denmark,22,0,CB,0,4,68,88,85,4,80,79,35,14,42,53,50,40,60,60,60
29,1,G.Cuhill,England,42,0,CB,0,4,67,71,88,66,74,88,92,85,88,56,50,40,60,60,60
30,1,E.Ampada,Wales,17,0,CB,0,4,53,51,94,85,61,81,40,12,53,68,50,40,60,60,60
31,1,C.Dave,Spain,28,0,RB,0,4,75,75,74,41,99,88,0,56,61,88,50,40,60,60,60
32,1,M.Alfonso,Spain,27,0,LB,0,4,55,55,84,94,55,67,60,84,81,86,50,40,60,60,60
33,1,Eberson,Italy,23,0,LB,0,4,42,43,82,45,64,79,6,23,61,85,50,40,60,60,60
34,1,D.Zapacoaster,Italy,26,0,LB,0,4,73,63,93,10,80,62,75,77,51,71,50,40,60,60,60
35,1,N.Kantre,France,27,0,CDM,0,4,89,80,89,60,84,85,25,7,93,80,50,100,60,60,60
36,1,Jordhino,Italy,26,0,CM,0,4,78,76,55,88,83,96,41,19,77,42,50,40,60,60,60
37,1,M.Kodadic,Croatia,24,0,CM,0,4,87,88,59,82,69,97,42,50,87,88,50,40,60,60,60
38,1,M.Loftus-Thigh,England,22,0,CM,0,4,97,83,53,85,71,77,2,63,71,66,50,40,60,60,60
39,1,R.Bakley,England,24,0,CAM,0,4,93,83,44,100,52,87,54,18,66,82,50,40,60,60,60
40,1,E.Havard,Belgium,27,0,LM,0,4,90,100,49,85,100,79,29,59,42,62,50,100,60,60,60
41,1,Wivian,Brazil,29,0,RM,0,4,93,97,43,70,81,54,28,54,54,52,50,40,60,60,60
42,1,C.Hudfield-Odoi,England,17,0,LM,0,4,90,78,46,60,83,98,29,5,98,40,50,40,60,60,60
43,1,Pedra,Spain,30,0,RM,0,4,91,99,43,69,53,96,7,45,67,47,50,40,60,60,60
44,1,O.Giroad,France,31,0,ST,0,4,87,85,60,65,73,63,49,24,80,76,50,40,60,60,60
45,1,G.Higuan,Argentina,30,0,ST,0,4,75,79,50,78,67,64,18,10,62,97,50,100,60,60,60
46,1,l.Stott,England,20,0,ST,0,4,73,82,60,60,73,68,34,48,100,58,50,40,60,60,60
47,2,Allisson,Brazil,25,0,GK,0,4,48,34,47,44,46,64,73,82,41,62,50,40,60,60,60
48,2,S.Mignole,Belgium,30,0,GK,0,4,32,45,30,38,52,60,77,78,45,92,50,40,60,60,60
49,2,J.Gomes,England,21,0,CB,0,4,63,60,78,18,82,69,85,63,81,87,50,40,60,60,60
50,2,V. Van Dijn,Holland,26,0,CB,0,4,51,84,80,91,84,94,92,26,96,59,50,40,60,60,60
51,2,J.Matin,Cameroon,26,0,CB,0,4,70,67,85,66,74,60,81,55,44,60,50,40,60,60,60
52,2,D.Lovrem,Croatia,28,0,CB,0,4,67,80,70,53,67,77,29,1,68,96,50,40,60,60,60
53,2,T.Alex-Arnold,England,19,0,RB,0,4,62,72,81,31,80,83,76,18,88,54,50,40,60,60,60
54,2,K.Hoever,Holland,16,0,RB,0,4,59,72,87,7,65,67,17,12,100,97,50,40,60,60,60
55,2,J.Miller,England,32,0,LB,0,4,61,61,84,83,67,65,59,24,85,73,50,40,60,60,60
56,2,A.Moreto,Spain,25,0,LB,0,4,51,71,71,79,84,77,60,45,81,62,50,40,60,60,60
57,2,Rabinho,Brazil,24,0,CDM,0,4,59,61,84,89,60,77,83,25,75,95,50,40,60,60,60
58,2,J.Hendo,England,28,0,CDM,0,4,56,60,81,72,99,85,14,19,64,53,50,40,60,60,60
59,2,G.Winyaldum,Holland,27,0,CM,0,4,75,81,60,78,60,67,95,99,51,60,50,40,60,60,60
60,2,N.Keeta,Cameroon,23,0,CM,0,4,85,94,84,69,77,75,23,45,90,90,50,40,60,60,60
61,2,A.Lallena,England,30,0,CM,0,4,85,89,50,75,61,78,60,90,89,77,50,40,60,60,60
62,2,M.Salat,Egypt,26,0,RM,0,4,99,89,40,78,95,78,74,2,98,53,50,40,60,60,60
63,2,S.Man,Senegal,26,0,LM,0,4,91,86,34,74,96,86,44,52,77,91,50,40,60,60,60
64,2,X.Shaqira,Switzerland,26,0,RM,0,4,81,85,59,71,75,66,95,87,40,60,50,40,60,60,60
65,2,A.O-Cham,England,24,0,RM,0,4,76,78,87,90,76,85,13,25,88,61,50,40,60,60,60
66,2,A.Roberts,Scotland,24,0,LB,0,4,51,75,79,16,88,61,27,17,83,70,50,40,60,60,60
67,2,R.Fimrino,Brazil,26,0,ST,0,4,63,82,81,38,85,90,95,62,43,48,50,40,60,60,60
68,2,D.Surridge,England,28,0,ST,0,4,58,79,71,36,72,94,21,36,63,86,50,40,60,60,60
69,2,D.Origo,Belgium,23,0,ST,0,4,64,89,72,23,77,81,54,83,80,41,50,40,60,60,60
70,3,De Rea,Spain,28,0,GK,0,4,13,44,20,12,22,89,80,93,75,55,50,100,60,60,60
71,3,S.Robero,Argentina,32,0,GK,0,4,25,42,17,10,18,72,76,78,54,45,50,40,60,60,60
72,3,C.Bigging,England,29,0,CB,0,4,68,80,84,60,68,87,8,11,82,83,50,40,60,60,60
73,3,V.Windelof,Sweden ,24,0,CB,0,4,67,78,87,55,63,79,8,10,80,85,50,40,60,60,60
74,3,E.Bailey,Ivory Coast,25,0,CB,0,4,72,81,86,57,65,89,8,10,82,88,50,40,60,60,60
75,3,M.Bojo,Argentina,29,0,CB,0,4,62,76,79,51,65,81,8,13,72,75,50,40,60,60,60
76,3,A.Old,England,33,0,RB,0,4,75,82,76,74,71,76,11,12,78,72,50,40,60,60,60
77,3,A.Malencia,Ecuador,33,0,RB,0,4,79,78,78,75,78,79,8,11,76,80,50,40,60,60,60
78,3,L.Draw,England,23,0,LB,0,4,97,80,82,75,77,78,8,9,74,81,50,40,60,60,60
79,3,M.Damien,Italy,29,0,LB,0,4,69,75,80,68,74,73,8,9,71,73,50,40,60,60,60
80,3,N.Watic,Serbia,30,0,CDM,0,4,74,84,78,79,80,84,8,10,72,81,50,40,60,60,60
81,3,A.Gerrera,Spain,29,0,CM,0,4,77,82,75,81,82,78,8,11,73,82,50,40,60,60,60
82,3,P.Pobga,France,26,0,CM,0,4,86,87,76,85,84,91,8,10,83,80,50,40,60,60,60
83,3,Fred,Brazil,26,0,CM,0,4,82,83,74,79,79,74,8,9,70,71,50,40,60,60,60
84,3,A.Perreiera,Brazil,23,0,CM,0,4,85,84,72,82,85,76,8,9,78,72,50,40,60,60,60
85,3,J.Mara,Spain,31,0,CAM,0,4,85,86,71,84,81,73,8,12,81,73,50,40,60,60,60
86,3,A.Marshal,France,23,0,LM,0,4,91,82,68,87,85,81,8,8,79,78,50,40,60,60,60
87,3,A.Sancnez,Chile,30,0,LM,0,4,84,81,67,84,83,79,8,9,73,72,50,40,60,60,60
88,3,J.Linbard,England,26,0,RM,0,4,86,84,72,86,88,78,6,8,81,76,50,40,60,60,60
89,3,D.Dalo,Portugal,20,0,RM,0,4,80,77,77,77,84,76,8,9,78,77,50,40,60,60,60
90,3,R.Mukaku,Belgium,26,0,ST,0,4,79,76,70,89,80,82,7,8,80,83,50,40,60,60,60
91,3,M.Bashford,England,21,0,ST,0,4,90,82,73,90,96,80,8,10,84,82,50,40,60,60,60
92,3,M. Greywood,England,17,0,ST,0,4,81,77,69,82,82,70,7,7,75,72,50,40,60,60,60
93,4,Eberson,Brazil,24,0,GK,0,4,97,27,48,63,68,54,65,91,40,45,50,40,60,60,60
94,4,C.Brano,Chile,35,0,GK,0,4,24,57,67,60,55,56,100,70,56,88,50,40,60,60,60
95,4,J.Rocks,England,24,0,CB,0,4,69,45,72,93,58,80,2,44,53,40,50,40,60,60,60
96,4,A.Lapore,France,24,0,CB,0,4,75,100,85,19,41,71,41,10,64,77,50,40,60,60,60
97,4,N.Otameni,Argentina,30,0,CB,0,4,80,85,90,42,65,97,67,63,73,57,50,40,60,60,60
98,4,V.Company,Belgium,32,0,CB,0,4,52,70,75,100,65,97,14,5,12,4,50,40,60,60,60
99,4,K.Runner,England,28,,RB,0,4,63,84,100,46,47,81,29,84,53,60,50,40,60,60,60
100,4,Damilo,Brazil,26,,RB,0,4,92,70,88,83,47,73,18,53,40,95,50,40,60,60,60
101,4,B.Menty,France,23,,LB,0,4,69,61,94,97,73,79,69,42,26,36,50,40,60,60,60
102,4,F.Delf,England,28,,LB,0,4,97,60,83,66,99,74,60,88,97,71,50,40,60,60,60
103,4,Fernandino,Brazil,33,,CDM,0,4,67,79,98,62,60,69,91,88,32,93,50,40,60,60,60
104,4,D.Silvi,Spain,32,,CM,0,4,70,75,68,79,89,42,11,20,75,31,50,40,60,60,60
105,4,I.Gundugan,Germany,27,,CM,0,4,89,83,66,68,92,90,96,19,1,84,50,40,60,60,60
106,4,O.Zincheka,Ukraine,21,,CM,0,4,84,74,87,73,83,83,31,28,76,40,50,40,60,60,60
107,4,P.Foder,England,18,,CM,0,4,94,73,87,94,67,72,5,5,83,57,50,40,60,60,60
108,4,K.De Brune,Belgium,27,,CAM,0,4,72,86,51,66,60,68,19,45,28,34,50,40,60,60,60
109,4,L.Sane,Germany,22,,LM,0,4,70,73,90,83,97,80,81,38,2,72,50,40,60,60,60
110,4,B.Silvi,Portugal,23,,LM,0,4,96,97,100,68,67,95,33,49,46,77,50,40,60,60,60
111,4,R.Mahres,Algeria,27,,RM,0,4,91,92,81,76,95,74,18,77,40,82,50,40,60,60,60
112,4,R.Stirling,England,23,,RM,0,4,97,99,64,62,60,89,13,9,63,13,50,40,60,60,60
113,4,S.Aguaro,Argentina,30,,ST,0,4,95,86,60,95,84,51,84,37,14,86,50,40,60,60,60
114,4,G.Jesus,Brazil,21,,ST,0,4,80,78,31,85,95,87,12,35,38,84,50,40,60,60,60
115,4,P.Roberts,England,21,,ST,0,4,88,74,84,70,96,40,55,68,58,14,50,40,60,60,60